id,district_id,municipality_id,microregion_id,mesoregion_id,state_id,name
41069020504,410690205,4106902,41037,4110,41,Administração Regional da Boa Vista (R.4.BV)
41069020505,410690205,4106902,41037,4110,41,Administração Regional de Santa Felicidade (R.5.SF)
41069020506,410690205,4106902,41037,4110,41,Administração Regional do Portão (R.7.PR)
41069020507,410690205,4106902,41037,4110,41,Administração Regional Pinheirinho (R.8.PN)
41069020508,410690205,4106902,41037,4110,41,Administração Regional do Bairro Novo (R.10.BN)
41137000501,411370005,4113700,41011,4103,41,Centro
41137000502,411370005,4113700,41011,4103,41,Região Norte
41137000503,411370005,4113700,41011,4103,41,Região Oeste
41137000504,411370005,4113700,41011,4103,41,Região Leste
41137000505,411370005,4113700,41011,4103,41,Região Sul
41152000501,411520005,4115200,41009,4103,41,Zona 1
41152000502,411520005,4115200,41009,4103,41,Zona 2
41152000503,411520005,4115200,41009,4103,41,Zona 3
41152000504,411520005,4115200,41009,4103,41,Zona 4
41152000505,411520005,4115200,41009,4103,41,Zona 5
41152000506,411520005,4115200,41009,4103,41,Zona 6
41152000507,411520005,4115200,41009,4103,41,Zona 7
41152000508,411520005,4115200,41009,4103,41,Zona 8
41152000509,411520005,4115200,41009,4103,41,Zona 9
41152000510,411520005,4115200,41009,4103,41,Zona 10
41152000511,411520005,4115200,41009,4103,41,Zona 11
41152000512,411520005,4115200,41009,4103,41,Zona 12
41152000513,411520005,4115200,41009,4103,41,Zona 13
41152000514,411520005,4115200,41009,4103,41,Zona 14
41152000515,411520005,4115200,41009,4103,41,Zona 15
41152000517,411520005,4115200,41009,4103,41,Zona 17
41152000518,411520005,4115200,41009,4103,41,Zona 18
41152000519,411520005,4115200,41009,4103,41,Zona 19
41152000520,411520005,4115200,41009,4103,41,Zona 20
41152000521,411520005,4115200,41009,4103,41,Zona 21
41152000522,411520005,4115200,41009,4103,41,Zona 22
41152000523,411520005,4115200,41009,4103,41,Zona 23
41152000524,411520005,4115200,41009,4103,41,Zona 24
41152000525,411520005,4115200,41009,4103,41,Zona 25
41152000526,411520005,4115200,41009,4103,41,Zona 26
41152000527,411520005,4115200,41009,4103,41,Zona 27
41152000528,411520005,4115200,41009,4103,41,Zona 28
41152000529,411520005,4115200,41009,4103,41,Zona 29
41152000530,411520005,4115200,41009,4103,41,Zona 30
41152000531,411520005,4115200,41009,4103,41,Zona 31
41152000535,411520005,4115200,41009,4103,41,Zona 35
41152000536,411520005,4115200,41009,4103,41,Zona 36
41152000537,411520005,4115200,41009,4103,41,Zona 37
41152000538,411520005,4115200,41009,4103,41,Zona 38
41152000539,411520005,4115200,41009,4103,41,Zona 39
41152000540,411520005,4115200,41009,4103,41,Zona 40
41152000541,411520005,4115200,41009,4103,41,Zona 41
41152000542,411520005,4115200,41009,4103,41,Zona 42
41152000543,411520005,4115200,41009,4103,41,Zona 43
41152000544,411520005,4115200,41009,4103,41,Zona 44
41152000545,411520005,4115200,41009,4103,41,Zona 45
41152000546,411520005,4115200,41009,4103,41,Zona 46
41152000547,411520005,4115200,41009,4103,41,Zona 47
41152000548,411520005,4115200,41009,4103,41,Zona 48
41152000550,411520005,4115200,41009,4103,41,Zona Central
41152001034,411520010,4115200,41009,4103,41,Zona 34
41152001533,411520015,4115200,41009,4103,41,Zona 33
43004060506,430040605,4300406,43029,4306,43,Zona Central
43004060507,430040605,4300406,43029,4306,43,Zona da Coxilha ou Cidade Alta
43004060508,430040605,4300406,43029,4306,43,Zona Norte
43004060509,430040605,4300406,43029,4306,43,Zona Sul
43004060510,430040605,4300406,43029,4306,43,Zona Leste
43004060511,430040605,4300406,43029,4306,43,Zona Oeste
43006040501,430060405,4300604,43026,4305,43,MZ1- Centro
43006040502,430060405,4300604,43026,4305,43,MZ2- Americana / Sumaré
43006040503,430060405,4300604,43026,4305,43,MZ3- Bela Vista
43006040504,430060405,4300604,43026,4305,43,MZ4- Intersul
43006040505,430060405,4300604,43026,4305,43,MZ5- Algarve
43006040506,430060405,4300604,43026,4305,43,MZ6- Aparecida
43006040507,430060405,4300604,43026,4305,43,MZ7- Cocão
43006040508,430060405,4300604,43026,4305,43,MZ8- Piratini
43006040509,430060405,4300604,43026,4305,43,MZ9- Formosa / Maria Regina
43006040510,430060405,4300604,43026,4305,43,MZ10- Umbu
43006041010,430060410,4300604,43026,4305,43,MZ10- Umbu
43006041011,430060410,4300604,43026,4305,43,MZ 11 - Industrial
43051080510,430510805,4305108,43016,4302,43,RA 01 - Centro
43051080511,430510805,4305108,43016,4302,43,RA 02 - Santa Lúcia
43051080512,430510805,4305108,43016,4302,43,RA 03 - Fátima
43051080513,430510805,4305108,43016,4302,43,RA 04 - Cruzeiro
43051080514,430510805,4305108,43016,4302,43,RA 05 - Esplanada
