id,id_municipio,id_microrregiao,id_mesorregiao,id_estado,nome
150440610,1504406,15009,1504,15,Marudá
150440615,1504406,15009,1504,15,Matapiquara
150440620,1504406,15009,1504,15,Monte Alegre do Maú
150440622,1504406,15009,1504,15,Praia de Marudá
150442205,1504422,15007,1503,15,Marituba
150445505,1504455,15015,1505,15,Medicilândia
150445535,1504455,15015,1505,15,União da Floresta
150450505,1504505,15004,1502,15,Melgaço
150450510,1504505,15004,1502,15,Areias
150460405,1504604,15011,1504,15,Mocajuba
150460415,1504604,15011,1504,15,São Pedro de Viseu
150470305,1504703,15012,1504,15,Moju
150470310,1504703,15012,1504,15,Cairari
150475205,1504752,15002,1501,15,Mojuí dos Campos
150480205,1504802,15002,1501,15,Monte Alegre
150490105,1504901,15006,1502,15,Muaná
150490110,1504901,15006,1502,15,São Francisco da Jararaca
150490115,1504901,15006,1502,15,São Miguel do Pracuúba
150495005,1504950,15013,1504,15,Nova Esperança do Piriá
150497605,1504976,15016,1506,15,Nova Ipixuna
150500705,1505007,15010,1504,15,Nova Timboteua
150500710,1505007,15010,1504,15,Timboteua
150503105,1505031,15014,1505,15,Novo Progresso
150506405,1505064,15016,1506,15,Novo Repartimento
150506410,1505064,15016,1506,15,Belo Monte do Pará
150506420,1505064,15016,1506,15,Maracajá
150506440,1505064,15016,1506,15,Vitória da Conquista
150510605,1505106,15001,1501,15,Óbidos
150520505,1505205,15011,1504,15,Oeiras do Pará
150530405,1505304,15001,1501,15,Oriximiná
150540305,1505403,15013,1504,15,Ourém
150543705,1505437,15018,1506,15,Ourilândia do Norte
150548605,1505486,15015,1505,15,Pacajá
150549405,1505494,15020,1506,15,Palestina do Pará
150550205,1505502,15017,1506,15,Paragominas
150553605,1505536,15019,1506,15,Parauapebas
150555105,1505551,15021,1506,15,Pau D'Arco
150560105,1505601,15010,1504,15,Peixe-Boi
150560110,1505601,15010,1504,15,Tauarizinho
150563505,1505635,15021,1506,15,Piçarra
150565005,1505650,15002,1501,15,Placas
150570005,1505700,15006,1502,15,Ponta de Pedras
150580905,1505809,15004,1502,15,Portel
150590805,1505908,15003,1501,15,Porto de Moz
150590810,1505908,15003,1501,15,Veiros
150590815,1505908,15003,1501,15,Vilarinho do Monte
150600505,1506005,15002,1501,15,Prainha
150600510,1506005,15002,1501,15,Pacoval
150610405,1506104,15010,1504,15,Primavera
150611205,1506112,15010,1504,15,Quatipuru
150613805,1506138,15021,1506,15,Redenção
150616105,1506161,15021,1506,15,Rio Maria
150618705,1506187,15017,1506,15,Rondon do Pará
150619505,1506195,15014,1505,15,Rurópolis
150619515,1506195,15014,1505,15,Divinópolis
150620305,1506203,15009,1504,15,Salinópolis
150630205,1506302,15006,1502,15,Salvaterra
150630210,1506302,15006,1502,15,Condeixa
150630215,1506302,15006,1502,15,Joanes
150630220,1506302,15006,1502,15,Jubim
150630225,1506302,15006,1502,15,Monsarás
150635105,1506351,15007,1503,15,Santa Bárbara do Pará
150640105,1506401,15006,1502,15,Santa Cruz do Arari
150650005,1506500,15008,1503,15,Santa Isabel do Pará
150650010,1506500,15008,1503,15,Americano
150650015,1506500,15008,1503,15,Caraparu
150655905,1506559,15013,1504,15,Santa Luzia do Pará
150658305,1506583,15022,1506,15,Santa Maria das Barreiras
150658310,1506583,15022,1506,15,Casa de Tábua
150658315,1506583,15022,1506,15,Nova Esperança
150660905,1506609,15010,1504,15,Santa Maria do Pará
150670805,1506708,15022,1506,15,Santana do Araguaia
150680705,1506807,15002,1501,15,Santarém
150680710,1506807,15002,1501,15,Alter do Chão
150680725,1506807,15002,1501,15,Boim
150680730,1506807,15002,1501,15,Curuai
150690605,1506906,15010,1504,15,Santarém Novo
150700305,1507003,15008,1503,15,Santo Antônio do Tauá
150700310,1507003,15008,1503,15,Espírito Santo do Tauá
150700315,1507003,15008,1503,15,São Raimundo de Borralhos
150710205,1507102,15009,1504,15,São Caetano de Odivelas
150710210,1507102,15009,1504,15,Perseverança
150715105,1507151,15020,1506,15,São Domingos do Araguaia
150720105,1507201,15013,1504,15,São Domingos do Capim
150730005,1507300,15018,1506,15,São Félix do Xingu
150730025,1507300,15018,1506,15,Taboca
150730030,1507300,15018,1506,15,Vila Ladeira Vermelha
150730035,1507300,15018,1506,15,Vila Lindoeste
150730040,1507300,15018,1506,15,Vila Nereu
150740905,1507409,15010,1504,15,São Francisco do Pará
150745805,1507458,15021,1506,15,São Geraldo do Araguaia
150746605,1507466,15009,1504,15,São João da Ponta
150747405,1507474,15009,1504,15,São João de Pirabas
150747410,1507474,15009,1504,15,Japerica
150750805,1507508,15020,1506,15,São João do Araguaia
150750810,1507508,15020,1506,15,Apinagés
150760705,1507607,15013,1504,15,São Miguel do Guamá
150760710,1507607,15013,1504,15,Caju
150760715,1507607,15013,1504,15,Urucuri
150760720,1507607,15013,1504,15,Urucuriteua
150770605,1507706,15005,1502,15,São Sebastião da Boa Vista
150775505,1507755,15021,1506,15,Sapucaia
150780505,1507805,15015,1505,15,Senador José Porfírio
150790405,1507904,15006,1502,15,Soure
150795305,1507953,15012,1504,15,Tailândia
150796105,1507961,15009,1504,15,Terra Alta
150797905,1507979,15001,1501,15,Terra Santa
150800105,1508001,15012,1504,15,Tomé-Açu
150803505,1508035,15010,1504,15,Tracuateua
150805005,1508050,15014,1505,15,Trairão
150808405,1508084,15018,1506,15,Tucumã
150810005,1508100,15016,1506,15,Tucuruí
150812605,1508126,15017,1506,15,Ulianópolis
150815905,1508159,15015,1505,15,Uruará
150815910,1508159,15015,1505,15,Alvorada
150820905,1508209,15009,1504,15,Vigia
150820915,1508209,15009,1504,15,Porto Salvo
150830805,1508308,15013,1504,15,Viseu
150830815,1508308,15013,1504,15,Fernandes Belo
150830820,1508308,15013,1504,15,São José do Gurupi
150830825,1508308,15013,1504,15,São José do Piriá
150835705,1508357,15015,1505,15,Vitória do Xingu
150840705,1508407,15021,1506,15,Xinguara
160005505,1600055,16003,1602,16,Serra do Navio
160005510,1600055,16003,1602,16,Cachaço
160010505,1600105,16002,1601,16,Amapá
160010515,1600105,16002,1601,16,Sucuriju
160015405,1600154,16003,1602,16,Pedra Branca do Amapari
160020405,1600204,16001,1601,16,Calçoene
160020410,1600204,16001,1601,16,Cunani
160020415,1600204,16001,1601,16,Lourenço
160021205,1600212,16003,1602,16,Cutias
160023805,1600238,16003,1602,16,Ferreira Gomes
160025305,1600253,16003,1602,16,Itaubal
160027905,1600279,16004,1602,16,Laranjal do Jari
160030305,1600303,16003,1602,16,Macapá
160030310,1600303,16003,1602,16,Bailique
160030311,1600303,16003,1602,16,Carapanantuba
160030312,1600303,16003,1602,16,Fazendinha
160030324,1600303,16003,1602,16,São Joaquim do Pacuí
160040205,1600402,16004,1602,16,Mazagão
160040208,1600402,16004,1602,16,Carvão
160040215,1600402,16004,1602,16,Mazagão Velho
160050105,1600501,16001,1601,16,Oiapoque
160050110,1600501,16001,1601,16,Clevelândia do Norte
160050115,1600501,16001,1601,16,Vila Velha
160053505,1600535,16003,1602,16,Porto Grande
160055005,1600550,16002,1601,16,Pracuúba
160060005,1600600,16003,1602,16,Santana
160060007,1600600,16003,1602,16,Anauerapucu
160060010,1600600,16003,1602,16,Igarapé do Lago
160060015,1600600,16003,1602,16,Ilha de Santana
160060020,1600600,16003,1602,16,Piaçacá
160060023,1600600,16003,1602,16,Pirativa
160070905,1600709,16002,1601,16,Tartarugalzinho
160080805,1600808,16004,1602,16,Vitória do Jari
170025105,1700251,17003,1701,17,Abreulândia
170030105,1700301,17001,1701,17,Aguiarnópolis
170035005,1700350,17005,1701,17,Aliança do Tocantins
170040005,1700400,17008,1702,17,Almas
170070705,1700707,17005,1701,17,Alvorada
170100205,1701002,17001,1701,17,Ananás
170105105,1701051,17001,1701,17,Angico
170110105,1701101,17006,1702,17,Aparecida do Rio Negro
170130905,1701309,17002,1701,17,Aragominas
170190305,1701903,17003,1701,17,Araguacema
170200005,1702000,17004,1701,17,Araguaçu
170210905,1702109,17002,1701,17,Araguaína
170215805,1702158,17002,1701,17,Araguanã
170220805,1702208,17001,1701,17,Araguatins
170220810,1702208,17001,1701,17,Natal
170230705,1702307,17002,1701,17,Arapoema
170240605,1702406,17008,1702,17,Arraias
170240610,1702406,17008,1702,17,Cana Brava
170255405,1702554,17001,1701,17,Augustinópolis
170270305,1702703,17008,1702,17,Aurora do Tocantins
170290105,1702901,17001,1701,17,Axixá do Tocantins
170300805,1703008,17002,1701,17,Babaçulândia
170305705,1703057,17002,1701,17,Bandeirantes do Tocantins
170307305,1703073,17007,1702,17,Barra do Ouro
170310705,1703107,17003,1701,17,Barrolândia
170320605,1703206,17003,1701,17,Bernardo Sayão
170330505,1703305,17006,1702,17,Bom Jesus do Tocantins
170360205,1703602,17003,1701,17,Brasilândia do Tocantins
170370105,1703701,17005,1701,17,Brejinho de Nazaré
170380005,1703800,17001,1701,17,Buriti do Tocantins
170382605,1703826,17001,1701,17,Cachoeirinha
170384205,1703842,17007,1702,17,Campos Lindos
170386705,1703867,17005,1701,17,Cariri do Tocantins
170388305,1703883,17002,1701,17,Carmolândia
170389105,1703891,17001,1701,17,Carrasco Bonito
170390905,1703909,17003,1701,17,Caseara
170410505,1704105,17007,1702,17,Centenário
170460005,1704600,17004,1701,17,Chapada de Areia
170510205,1705102,17008,1702,17,Chapada da Natividade
170550805,1705508,17002,1701,17,Colinas do Tocantins
170555705,1705557,17008,1702,17,Combinado
170560705,1705607,17008,1702,17,Conceição do Tocantins
